TIME(Hrs),Hole (Nos),Depth (m),Spacing(m),Burden (m),Stemming(m),Total Drill (RMT),Explosive(kg),Volume(m3),Powder Factor(kg/m3),Av. CPH,MCPD (kg/D),PPV MON,Seis. Dist. (m),A.O.P (dBL)
13:45:00,21,6.0,3.0,2.5,3.0,126.0,350.0,945.0,0.37,16.67,33.34,4.32,410.0,118.0
13:20:00,65,6.0,3.5,3.0,3.0,390.0,1675.0,4095.0,0.4,25.76,51.92,0.754,440.0,120.7
13:48:00,35,3.6,3.2,2.8,3.0,182.0,550.0,1631.0,0.34,15.7,31.4,3.81,295.0,119.0
13:22:00,34,9.0,3.0,3.0,2.5,170.0,400.0,1530.0,0.26,11.42,11.42,2.07,360.0,119.1
13:28:00,37,15.0,4.0,3.0,3.0,555.0,2800.0,6660.0,0.42,75.67,75.67,3.68,390.0,114.0
13:29:00,24,15.0,4.0,3.0,3.0,360.0,1725.0,4320.0,0.39,71.87,71.87,4.83,290.0,114.0
13:36:00,22,6.0,3.2,2.8,3.0,132.0,500.0,1183.0,0.42,22.72,45.26,1.65,405.0,119.0
13:30:00,38,6.0,3.2,2.8,3.0,228.0,1000.0,2043.0,0.49,26.32,26.23,2.03,310.0,117.0
13:35:00,39,6.0,3.2,2.8,3.0,234.0,800.0,2097.0,0.4,20.5,42.0,2.67,280.0,112.0
13:30:00,39,12.15,3.5,3.2,3.0,556.0,2625.0,6227.2,0.42,67.31,134.62,0.611,450.0,106.3
13:25:00,22,13.0,4.0,3.0,3.0,299.0,1500.0,3432.0,0.43,68.18,136.36,1.21,420.0,124.5
13:28:00,24,7.5,3.0,3.0,3.0,180.0,505.56,1620.0,0.31,21.06,42.12,0.532,432.0,112.4
13:22:00,42,15.0,4.2,3.2,3.0,630.0,3625.0,8467.0,0.42,86.3,172.6,3.41,410.0,122.7
13:22:00,53,15.0,4.2,3.2,3.0,795.0,4500.0,10684.0,0.42,84.9,169.81,3.41,420.0,122.7
13:14:00,19,10.0,3.0,3.0,3.0,190.0,825.0,1710.0,0.48,43.42,43.42,1.44,390.0,125.7
13:20:00,61,8.5,4.0,3.0,3.0,518.5,3125.0,61222.0,0.5,51.22,102.4,1.61,420.0,124.4
13:13:00,31,5.5,4.0,3.0,2.5,170.0,775.0,2046.0,0.37,25.0,50.0,1.4,390.0,117.0
13:14:00,14,4.0,3.0,2.5,2.5,56.0,100.0,420.0,0.24,7.14,7.14,0.889,330.0,100.0
13:12:00,20,9.0,3.0,2.8,3.0,108.0,425.0,907.2,0.47,21.25,21.25,2.79,320.0,110.0
13:16:00,20,15.0,3.5,3.2,3.0,300.0,1950.0,3360.0,0.58,97.5,97.5,1.55,480.0,129.8
13:23:00,24,5.0,3.0,3.0,3.0,120.0,400.0,1080.0,0.37,16.66,16.66,0.643,380.0,87.1
13:22:00,12,3.4,3.0,3.0,2.5,42.0,100.0,378.0,0.26,8.33,8.33,1.91,340.0,110.5
13:21:00,27,9.0,3.0,3.0,3.0,243.0,1000.0,2187.0,0.45,37.03,37.03,2.73,350.0,123.0
13:20:00,37,15.0,4.2,3.2,3.0,555.0,3250.0,7500.0,0.43,87.83,175.67,0.88,340.0,117.0
13:27:00,40,15.0,3.5,3.2,3.0,600.0,3300.0,6720.0,0.49,82.5,82.5,2.63,410.0,118.1
13:25:00,32,7.0,3.2,2.8,3.0,240.0,1000.0,2150.0,0.47,31.25,31.25,0.754,390.0,87.7
13:26:00,50,5.6,3.2,2.8,3.0,275.0,1350.0,2464.0,0.55,27.0,27.0,1.96,350.0,114.7
17:16:00,100,9.0,3.5,2.8,2.8,485.0,1750.0,4704.0,0.37,17.5,35.0,9.33,80.0,118.9
13:30:00,34,4.0,3.3,2.6,2.5,136.0,425.0,1166.8,0.36,12.5,12.5,2.52,110.0,119.0
13:32:00,33,4.0,3.3,2.6,2.5,132.0,425.0,1132.5,0.37,12.8,12.8,4.06,110.0,124.7
13:25:00,35,5.0,3.0,3.0,3.0,175.0,700.0,1575.0,0.44,20.0,40.0,6.07,80.0,123.6
13:12:00,30,4.5,3.0,3.0,2.8,150.0,500.0,1350.0,0.37,16.66,33.32,1.5,290.0,121.8
13:19:00,20,10.0,3.0,3.0,3.0,200.0,850.0,1800.0,0.47,42.5,42.5,1.2,340.0,117.1
13:24:00,61,6.0,3.2,2.8,3.0,366.0,1525.0,3279.6,0.47,25.0,50.0,0.754,390.0,110.6
13:22:00,36,6.0,3.2,2.8,3.0,216.0,875.0,193.36,0.45,24.31,48.62,1.56,290.0,120.0
13:26:00,29,15.0,3.5,3.0,3.0,435.0,2300.0,4567.5,0.5,79.31,158.63,3.41,310.0,124.0
13:45:00,73,5.6,4.0,3.0,2.5,423.0,2025.0,5080.0,0.39,27.73,55.47,0.849,490.0,120.2
13:12:00,61,6.7,3.0,3.0,3.0,405.0,2000.0,3645.0,0.54,32.78,65.57,2.71,390.0,90.1
13:24:00,36,9.0,3.3,2.6,2.8,162.0,450.0,1390.0,0.32,12.5,12.5,1.32,410.0,119.0
13:15:00,36,15.0,3.5,3.2,3.0,540.0,3000.0,6048.0,0.49,83.33,83.33,9.42,330.0,118.4
13:46:00,34,9.0,4.0,3.0,2.8,180.2,700.0,2162.4,0.32,20.58,41.17,0.579,420.0,133.1
13:30:00,53,9.11,3.0,2.8,3.0,480.5,2275.0,4032.0,0.56,42.92,85.84,0.849,390.0,138.5
13:21:00,35,9.0,3.0,3.0,2.8,175.0,575.0,1575.0,0.36,16.42,16.42,1.18,280.0,129.6
13:15:00,27,7.0,3.0,3.0,3.0,189.0,1000.0,1701.0,0.58,37.03,37.03,1.94,340.0,123.7
13:36:00,22,15.0,4.0,3.0,3.0,327.0,1750.0,3960.0,0.44,79.54,159.0,2.16,360.0,121.0
13:47:00,22,15.0,3.5,3.2,3.0,330.0,1800.0,3696.0,0.49,81.82,163.64,0.762,380.0,110.0
13:40:00,42,6.7,3.2,2.8,3.0,261.0,1150.0,2338.0,0.49,27.38,54.76,4.83,391.0,123.0
13:48:00,30,5.6,3.2,2.8,3.0,180.0,675.0,1612.8,0.42,22.5,45.0,1.91,395.0,117.0
13:33:00,28,10.0,4.0,3.0,3.0,280.0,1325.0,3360.0,0.39,47.32,94.64,2.92,370.0,112.0
13:10:00,26,7.0,3.0,3.0,3.0,182.0,875.0,1638.0,0.53,33.65,67.3,1.2,380.0,123.0
13:13:00,30,9.0,3.0,3.0,2.5,120.0,400.0,1080.0,0.37,13.33,26.66,0.91,280.0,119.8
13:20:00,32,6.7,3.2,2.8,3.0,205.0,875.0,1843.0,0.48,27.0,54.0,2.41,370.0,117.8
13:18:00,31,4.0,3.2,2.8,2.5,124.0,425.0,1111.04,0.4,13.71,27.42,1.27,230.0,114.0
13:29:00,26,15.0,3.5,3.2,3.0,390.0,2300.0,4368.0,0.53,88.46,176.92,1.52,320.0,121.0
13:18:00,36,7.9,3.2,2.8,3.0,316.0,1550.0,2831.4,0.55,43.06,86.12,1.14,390.0,100.0
13:24:00,22,9.0,3.8,3.0,3.0,248.81,1450.0,2843.0,0.51,65.9,131.81,1.4,360.0,122.0
13:23:00,40,6.7,3.2,2.8,3.0,280.0,1425.0,2508.8,0.57,35.62,71.24,1.78,370.0,110.0
13:36:00,41,15.0,3.5,3.2,3.0,615.0,3550.0,6888.0,0.52,86.59,86.59,1.65,410.0,123.0
13:16:00,24,7.0,3.0,3.0,3.0,168.0,800.0,1512.0,0.52,33.36,33.36,1.39,380.0,124.1
13:15:00,30,7.0,3.0,3.0,3.0,210.0,1000.0,1890.0,0.52,33.36,33.36,2.8,340.0,117.0
13:10:00,19,12.0,3.5,3.0,3.0,216.0,1125.0,2268.0,0.49,59.21,118.4,1.02,380.0,116.0
13:32:00,67,9.0,3.0,3.0,2.5,335.0,783.0,3015.0,0.25,11.68,23.37,0.759,230.0,112.8
13:34:00,24,5.0,3.0,3.0,2.5,120.0,525.0,1440.0,0.36,21.8,21.8,2.41,370.0,117.8
13:21:00,33,6.0,3.2,2.8,3.0,198.0,750.0,1774.0,0.42,22.73,45.56,2.92,310.0,112.0
13:23:00,26,15.0,3.5,3.2,3.0,390.0,2000.0,4368.0,0.46,76.92,153.84,1.91,370.0,123.0
13:21:00,30,15.0,4.0,3.0,3.0,450.0,2350.0,5400.0,0.43,78.33,156.66,3.5,280.0,119.0
13:14:00,38,15.0,4.0,3.0,3.0,570.0,3375.0,6840.0,0.49,88.81,177.63,0.889,380.0,100.0
13:07:00,31,4.5,3.0,3.0,2.5,142.0,550.0,1278.0,0.43,17.74,35.48,2.9,380.0,110.0
13:10:00,25,9.0,3.5,3.0,3.0,157.0,525.0,1648.5,0.31,21.0,42.0,1.42,380.0,85.1
13:03:00,24,6.0,3.5,3.0,3.0,144.0,675.0,1512.0,0.44,28.12,28.12,1.28,370.0,113.8
13:53:00,31,7.11,3.5,3.0,3.0,259.0,1325.0,2719.5,0.48,42.74,85.48,2.28,365.0,83.4
13:09:00,51,5.8,3.2,2.8,3.0,368.0,1300.0,3297.3,0.4,25.5,51.0,1.39,410.0,125.7
13:08:00,105,9.0,4.0,3.0,3.0,840.0,4375.0,1080.0,0.43,41.66,83.33,1.64,400.0,123.7
13:10:00,25,4.0,3.0,3.0,2.5,100.0,375.0,900.0,0.41,15.0,30.0,1.39,370.0,120.4
13:07:00,27,7.0,3.0,3.0,3.0,189.0,900.0,1701.0,0.52,33.33,33.33,1.93,365.0,125.1
13:07:00,30,7.0,3.0,3.0,3.0,210.0,1000.0,1890.0,0.52,33.33,33.33,1.93,365.0,125.1
13:27:00,21,15.0,4.0,3.0,3.0,315.0,1825.0,3780.0,0.48,86.9,173.8,0.0397,280.0,127.5
13:11:00,32,8.0,3.2,2.8,3.0,336.0,1550.0,3010.6,0.51,36.9,36.9,3.05,250.0,100.0
13:00:00,45,9.0,4.0,3.0,3.0,258.0,1300.0,3102.0,0.41,37.53,75.06,10.8,200.0,129.0
13:18:00,40,15.0,4.0,3.0,3.0,600.0,3200.0,7200.0,0.44,80.0,160.0,4.83,370.0,110.0
13:04:00,21,9.0,3.0,3.0,2.5,88.2,350.0,793.8,0.44,16.66,16.6,3.05,280.0,123.0
13:25:00,9,9.0,3.2,2.8,3.0,81.0,200.0,725.76,0.3,22.22,22.22,2.41,370.0,117.8
13:20:00,41,5.6,3.8,2.8,3.0,225.5,1000.0,2400.0,0.41,24.39,48.78,2.26,430.0,96.6
13:15:00,40,4.6,3.4,2.7,2.8,179.9,675.0,1652.0,0.4,16.47,33.75,1.18,350.0,113.9
13:30:00,20,3.0,3.0,2.5,2.0,60.0,225.0,450.0,0.5,11.25,22.5,0.88,370.0,100.0
13:05:00,24,7.0,3.0,3.0,3.0,160.0,800.0,1512.0,0.52,33.33,33.33,4.33,320.0,126.5
13:10:00,27,7.0,3.0,3.0,3.0,210.0,825.0,1890.0,0.43,30.55,30.55,1.21,380.0,106.0
13:40:00,19,15.0,3.5,3.0,3.0,285.0,1700.0,2992.0,0.56,83.44,178.9,2.03,380.0,110.0
14:00:00,31,15.0,4.3,3.5,3.0,465.0,2925.0,6998.25,0.36,94.35,94.35,4.77,398.0,137.8
13:59:00,29,15.0,3.5,3.1,3.0,435.0,3025.0,4585.0,0.65,104.3,208.6,2.1,450.0,131.0
17:43:00,30,9.0,2.5,2.5,3.0,135.6,355.56,847.5,0.41,11.8,23.7,4.85,316.0,114.5
17:45:00,60,9.0,3.2,3.0,3.0,460.0,2200.0,4424.0,0.5,36.6,73.2,1.9,590.0,118.5
17:46:00,25,4.0,3.0,2.5,2.5,100.0,350.0,750.0,0.47,14.0,28.0,0.516,570.0,124.1
13:30:00,28,7.0,3.0,3.0,3.0,196.0,1000.0,1764.0,0.56,35.71,71.42,6.93,268.0,121.2
13:30:00,34,9.0,3.0,2.6,3.0,164.9,425.0,1286.2,0.33,12.5,12.5,2.41,370.0,117.8
13:50:00,23,6.0,3.0,2.5,3.0,138.0,575.0,1035.0,0.55,25.0,50.0,0.897,615.0,107.6
13:13:00,36,6.7,3.0,3.0,3.0,233.0,1075.0,2097.0,0.51,29.86,29.86,6.41,373.0,119.7
17:15:00,30,9.0,4.0,3.0,3.0,193.0,925.0,2316.0,0.39,30.83,61.66,3.5,300.0,120.5
13:34:00,19,5.7,3.0,2.5,3.0,114.0,516.68,867.0,0.59,27.19,54.38,8.34,360.0,118.3
13:15:00,22,15.0,4.0,3.0,3.0,330.0,1825.0,3960.0,0.46,82.95,82.95,6.66,162.0,119.2
13:09:00,56,9.0,3.0,2.5,3.0,493.5,1975.0,3296.25,0.59,35.26,70.53,5.09,530.0,121.7
13:15:00,23,9.0,3.0,2.5,3.0,206.0,1025.0,1545.0,0.66,44.56,89.12,0.706,606.0,86.5
13:20:00,52,9.0,3.2,2.8,3.0,360.0,1625.0,3232.1,0.5,31.25,31.25,0.897,522.0,116.5
13:17:00,36,9.0,3.5,3.0,3.0,157.9,525.0,1658.0,0.31,14.58,29.16,4.52,311.0,126.7
13:15:00,34,14.15,3.5,3.0,3.0,493.0,2700.0,5145.0,0.52,79.4,158.8,2.41,370.0,117.8
13:22:00,37,9.0,4.2,3.2,3.0,531.6,3536.12,7144.7,0.49,95.57,191.14,2.96,482.0,135.4
13:49:00,23,15.0,3.2,3.0,3.0,345.0,2000.0,3312.0,0.6,86.96,86.96,0.722,584.0,127.8
13:35:00,58,9.0,3.5,2.8,3.0,209.4,702.78,2052.12,0.34,12.11,24.23,0.722,380.0,116.9
14:00:00,35,9.0,3.5,2.8,3.0,164.2,722.24,1609.16,0.44,20.63,41.27,0.691,496.0,126.1
17:24:00,72,9.0,3.2,2.8,3.0,663.0,3025.0,5940.5,0.51,42.01,84.02,1.8,562.0,122.1
17:21:00,61,15.0,3.5,3.1,3.0,915.0,4925.0,9928.0,0.5,80.74,80.74,0.055,524.0,120.2
13:15:00,55,15.0,3.0,3.0,3.0,825.0,4600.0,7425.0,0.61,83.63,167.27,5.47,644.0,126.1
13:17:00,26,3.4,3.0,3.0,3.0,106.0,191.82,954.0,0.2,7.37,7.37,2.29,251.0,111.5
13:30:00,37,5.6,3.0,3.0,3.0,214.8,1000.0,1933.2,0.52,27.03,24.06,4.18,679.0,120.6
13:30:00,10,12.14,4.0,3.5,3.0,138.0,850.0,1932.0,0.44,85.0,117.0,4.18,679.0,120.6
13:25:00,60,11.12,3.0,3.0,3.0,690.0,3600.0,6210.0,0.57,60.0,120.0,1.23,578.0,104.9
13:28:00,25,3.5,3.0,2.5,3.0,87.5,125.0,656.25,0.19,5.56,11.12,1.79,584.0,86.5
13:29:00,56,15.0,4.2,3.2,3.0,840.0,5116.0,11289.0,0.45,91.36,182.73,13.6,521.0,135.4
13:23:00,39,9.0,3.0,3.0,3.0,217.0,950.0,1953.0,0.48,24.35,24.35,4.14,426.0,118.6
13:35:00,40,4.5,2.5,2.5,3.0,180.0,500.0,1125.0,0.44,12.5,25.0,1.42,546.0,120.4
13:36:00,26,6.0,3.0,3.0,3.0,156.0,686.12,1404.48,0.48,26.38,26.38,0.643,520.0,118.6
13:40:00,32,9.0,2.5,2.5,3.0,215.16,850.0,1344.75,0.63,26.56,26.56,1.14,486.0,111.6
13:42:00,62,9.0,3.5,2.8,2.0,250.2,1005.0,2451.96,0.41,16.21,32.43,2.41,370.0,117.8
13:25:00,99,6.0,3.0,3.0,3.0,594.0,2525.0,5346.0,0.47,25.5,51.0,0.913,730.0,114.0
13:30:00,35,12.15,4.2,3.2,3.0,472.0,3025.0,6350.0,0.47,86.42,172.85,2.41,370.0,117.8
13:13:00,43,9.0,3.2,2.8,3.0,291.54,1200.0,2612.2,0.46,27.9,27.9,0.627,490.0,108.0
13:20:00,30,6.0,3.0,3.0,3.0,180.0,750.0,1620.0,0.46,25.0,25.0,2.41,340.0,117.8
13:56:00,30,5.6,3.0,2.5,3.0,170.0,533.76,1275.0,0.41,17.79,17.79,1.17,470.0,115.8
17:21:00,94,15.0,4.0,3.2,3.0,1410.0,8200.0,18048.0,0.45,87.23,174.46,8.37,300.0,140.5
17:15:00,53,6.8,4.0,3.0,3.0,388.0,1950.0,4656.0,0.41,36.79,73.58,5.23,280.0,126.3
13:14:00,30,9.0,3.0,3.0,3.0,267.0,1375.0,2403.0,0.57,45.83,45.83,2.06,310.0,112.8
13:49:00,18,10.5,3.0,3.0,3.0,189.0,975.0,1701.0,0.57,54.21,108.42,0.722,480.0,85.5
13:17:00,42,9.0,3.0,3.0,3.5,421.0,2050.0,3182.0,0.64,48.8,97.6,4.48,280.0,123.4
13:50:00,24,12.13,3.5,3.0,3.0,309.0,1800.0,3244.5,0.55,75.0,150.0,1.15,365.0,115.4
13:20:00,18,3.0,3.0,2.5,2.5,54.0,75.0,405.0,0.31,7.0,7.0,0.516,330.0,116.4
13:20:00,28,3.0,3.0,2.5,2.5,78.0,150.0,585.0,0.26,5.8,5.8,0.516,305.0,116.4
13:55:00,59,14.15,3.5,3.0,3.0,873.17,5025.0,9168.28,0.54,85.16,85.16,1.26,270.0,115.0
13:50:00,54,15.0,4.2,3.2,3.0,810.0,6000.0,10886.4,0.55,111.11,122.22,3.45,340.0,122.0
13:20:00,45,9.0,3.0,2.8,3.0,331.0,2575.0,4650.0,0.55,57.22,114.44,2.41,370.0,117.8
13:10:00,28,12.0,3.5,3.0,3.0,432.0,3528.0,3528.0,0.49,62.5,125.0,1.23,390.0,126.0
13:10:00,34,5.6,3.0,3.0,3.0,156.0,666.0,1404.0,0.47,19.6,19.6,2.04,255.0,125.0
13:19:00,94,6.0,3.0,3.0,3.0,564.0,2450.0,5076.0,0.48,26.06,26.06,1.02,410.0,114.7
13:48:00,32,9.0,3.5,3.0,3.0,297.6,1800.0,3124.8,0.57,56.25,112.5,0.669,365.0,117.1
13:22:00,30,15.0,3.5,3.2,3.0,450.0,2775.0,5040.0,0.55,92.5,92.5,0.992,420.0,127.7
13:40:00,51,15.0,3.5,3.2,3.0,765.0,4700.0,8568.0,0.55,92.16,92.16,0.135,460.0,130.9
13:33:00,44,5.6,3.2,2.8,3.0,174.0,800.0,1559.0,0.56,18.18,36.36,0.135,460.0,130.9
13:20:00,22,13.0,3.0,3.0,3.5,286.0,1150.0,2574.0,0.44,52.27,104.54,2.41,370.0,117.8
13:10:00,30,8.1,3.0,3.0,3.3,274.0,1069.0,2466.0,0.43,42.66,85.32,0.699,370.0,84.3
13:28:00,23,4.5,3.0,3.0,3.0,108.0,325.0,972.0,0.33,14.13,14.13,0.818,295.0,93.6
